,0
Name,Samsung Galaxy F13
Network,"      GSM 850 / 900 / 1800 / 1900 - SIM 1 &amp; SIM 2    HSDPA 850 / 900 / 2100     1, 3, 5, 7, 8, 20, 28, 38, 40, 41    HSPA 42.2/5.76 Mbps, LTE-A  "
Launch,"  2022, June 22    Available. Released 2022, June 29  "
Body,"  165.4 x 76.9 x 9.3 mm (6.51 x 3.03 x 0.37 in)    207 g (7.30 oz)    Glass front (Gorilla Glass 5), plastic back, plastic frame    Dual SIM (Nano-SIM, dual stand-by)  "
Display,"  PLS LCD    6.6 inches, 104.9 cm    1080 x 2408 pixels, 20:9 ratio (~400 ppi density)    Corning Gorilla Glass 5  "
Platform,"  Android 12, One UI Core 4.1    Exynos 850 (8nm)    Octa-core (4x2.0 GHz Cortex-A55 &amp; 4x2.0 GHz Cortex-A55)    Mali-G52  "
Memory,"  microSDXC (dedicated slot)    64GB 4GB RAM, 128GB 4GB RAM  "
Main Camera,"  50 MP, f/1.8, (wide), PDAF    LED flash, panorama, HDR    1080p@30fps  "
Selfie camera,"  8 MP, f/2.2, (wide)    HDR    1080p@30fps  "
Sound,  Yes    Yes  
Comms,"  Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot    5.0, A2DP, LE    Yes, with A-GPS, GLONASS, GALILEO, BDS    Yes    FM radio    USB Type-C 2.0, USB On-The-Go  "
Features,"  Fingerprint (side-mounted), accelerometer, compass     Virtual proximity sensing  "
Battery,"  Li-Po 6000 mAh, non-removable    Fast charging 15W  "
Misc,"  Waterfall Blue, Sunrise Copper, Nightsky Green    SM-E135F, SM-E135F/DS    0.55 W/kg (head)         0.45 W/kg (head)     1.36 W/kg (body)           "
